medal,beer_name,brewery,city,state,category,year,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
Gold,Volksbier Vienna,Wibby Brewing,Longmont,CO,American Amber Lager,2020,40.164837,-105.103179,1,place,,,,,Longmont,CO,Boulder County,80501,US,TIGER/Line® dataset from the US Census Bureau
Silver,Oktoberfest,Founders Brewing Co.,Grand Rapids,MI,American Amber Lager,2020,42.984226,-85.629101,1,place,,,,,Grand Rapids,MI,Kent County,49501,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Amber Lager,Skipping Rock Beer Co.,Staunton,VA,American Amber Lager,2020,38.157368,-79.065116,1,place,,,,,Staunton,VA,Staunton city,24401,US,TIGER/Line® dataset from the US Census Bureau
Gold,Lager at World's End,Epidemic Ales,Concord,CA,American Lager,2020,37.953672,-122.022872,1,place,,,,,Concord,CA,Contra Costa County,94518,US,TIGER/Line® dataset from the US Census Bureau
Silver,Seismic Tremor,Seismic Brewing Co.,Santa Rosa,CA,American Lager,2020,38.450412,-122.783159,1,place,,,,,Santa Rosa,CA,Sonoma County,95401,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Lite Thinking,Pollyanna Brewing Co.,Lemont,IL,American Lager,2020,41.707431,-87.975568,1,place,,,,,Lemont,IL,DuPage County,60439,US,TIGER/Line® dataset from the US Census Bureau
Gold,Beachscape,Ventura Coast Brewing Co.,Ventura,CA,American Pilsener,2020,34.330829,-119.358352,1,place,,,,,Ventura,CA,Ventura County,93001,US,TIGER/Line® dataset from the US Census Bureau
Silver,Imagine a World with Beer Cellars Instead of 401ks,Freetail Brewing Co.,San Antonio,TX,American Pilsener,2020,29.468413,-98.528889,1,place,,,,,San Antonio,TX,Bexar County,78201,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Pilsner,Old Town Brewing,Portland,OR,American Pilsener,2020,45.507856,-122.690794,1,place,,,,,Portland,OR,Multnomah County,97201,US,TIGER/Line® dataset from the US Census Bureau
Gold,Tank 7,Boulevard Brewing Co.,Kansas City,MO,American-Belgo-Style Ale,2020,39.102404,-94.598583,1,place,,,,,Kansas City,MO,Jackson County,64101,US,TIGER/Line® dataset from the US Census Bureau
Silver,Dear You,Ratio Beerworks,Denver,CO,American-Belgo-Style Ale,2020,39.760189,-104.996553,1,place,,,,,Denver,CO,Denver County,80202,US,TIGER/Line® dataset from the US Census Bureau
Gold,Avalon Amber Ale,Bowigens Beer Co.,Casselberry,FL,American-Style Amber/Red Ale,2020,28.661468,-81.313989,1,place,,,,,Casselberry,FL,Seminole County,32707,US,TIGER/Line® dataset from the US Census Bureau
Silver,Justin's Easy Going Amber,Zuni Street Brewing Co.,Denver,CO,American-Style Amber/Red Ale,2020,39.760189,-104.996553,1,place,,,,,Denver,CO,Denver County,80202,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Paulie's Not Irish,Old Town Brewing,Portland,OR,American-Style Amber/Red Ale,2020,45.507856,-122.690794,1,place,,,,,Portland,OR,Multnomah County,97201,US,TIGER/Line® dataset from the US Census Bureau
Gold,Wookey Jack,Firestone Walker Brewing Co. - The Propagator,Marina del Rey,CA,American-Style Black Ale or American-Style Stout,2020,33.979007,-118.457852,1,place,,,,,Marina Del Rey,CA,Los Angeles County,90292,US,TIGER/Line® dataset from the US Census Bureau
Gold,Brown Ale,Second Street Brewery,Santa Fe,NM,American-Style Brown Ale,2020,35.697473,-105.982146,1,place,,,,,Santa Fe,NM,Santa Fe County,87501,US,TIGER/Line® dataset from the US Census Bureau
Silver,Wallops Island,Rocket Frog Brewing Co.,Sterling,VA,American-Style Brown Ale,2020,39.085309,-77.645224,1,place,,,,,Sterling,VA,Loudoun County,20163,US,TIGER/Line® dataset from the US Census Bureau
Bronze,All-American Brown,Auburn Alehouse,Auburn,CA,American-Style Brown Ale,2020,39.014933,-121.07047,1,place,,,,,Auburn,CA,Placer County,95602,US,TIGER/Line® dataset from the US Census Bureau
Gold,Moonlite,Moontown Brewing Co.,Whitestown,IN,American-Style Cream Ale,2020,40.022608,-86.346179,1,place,,,,,Whitestown,IN,Boone County,46075,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Let's Talk About Mex,Cannonball Creek Brewing Co.,Golden,CO,American-Style Cream Ale,2020,39.718539,-105.245659,1,place,,,,,Golden,CO,Jefferson County,80401,US,TIGER/Line® dataset from the US Census Bureau
Gold,Strawberry Zwickelbier,Twin Sisters Brewing Co.,Bellingham,WA,American-Style Fruit Beer,2020,48.754092,-122.508129,1,place,,,,,Bellingham,WA,Whatcom County,98225,US,TIGER/Line® dataset from the US Census Bureau
Silver,Everything But The Seeds,1623 Brewing Co.,Eldersburg,MD,American-Style Fruit Beer,2020,39.403715,-76.950257,0.9,place,,,,,Eldersburg,MD,Carroll County,21784,US,TIGER/Line® dataset from the US Census Bureau
Bronze,"Berry, Berry, Quite Contrary",Territorial Brewing Co.,Springfield,MI,American-Style Fruit Beer,2020,42.270781,-85.22874,0.8,place,,,,,Springfield,MI,Calhoun County,49015,US,TIGER/Line® dataset from the US Census Bureau
Gold,IPA,Perry Street Brewing,Spokane,WA,American-Style India Pale Ale,2020,47.66264,-117.435997,1,place,,,,,Spokane,WA,Spokane County,99201,US,TIGER/Line® dataset from the US Census Bureau
Silver,Updrift India Pale Ale,Pelican Brewing Co. - Tillamook,Tillamook,OR,American-Style India Pale Ale,2020,45.461952,-123.740874,1,place,,,,,Tillamook,OR,Tillamook County,97141,US,TIGER/Line® dataset from the US Census Bureau
Gold,Featherweight Pale Ale,Cannonball Creek Brewing Co.,Golden,CO,American-Style Pale Ale,2020,39.718539,-105.245659,1,place,,,,,Golden,CO,Jefferson County,80401,US,TIGER/Line® dataset from the US Census Bureau
Silver,Somewhere Golden,Institution Ale Co.,Camarillo,CA,American-Style Pale Ale,2020,34.227855,-119.079869,1,place,,,,,Camarillo,CA,Ventura County,93010,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Pantsless,Alarmist Brewing,Chicago,IL,American-Style Pale Ale,2020,41.88531,-87.62213,1,place,,,,,Chicago,IL,Cook County,60601,US,TIGER/Line® dataset from the US Census Bureau
Gold,Vice Sans Fruit,Wild Barrel Brewing Co.,San Marcos,CA,American-Style Sour Ale,2020,33.170778,-117.158674,1,place,,,,,San Marcos,CA,San Diego County,92069,US,TIGER/Line® dataset from the US Census Bureau
Silver,Mirage,New Terrain Brewing Co.,Golden,CO,American-Style Sour Ale,2020,39.718539,-105.245659,1,place,,,,,Golden,CO,Jefferson County,80401,US,TIGER/Line® dataset from the US Census Bureau
Gold,Built For Speed,Grains of Wrath Brewing,Camas,WA,American-Style Strong Pale Ale,2020,45.656489,-122.399341,1,place,,,,,Camas,WA,Clark County,98607,US,TIGER/Line® dataset from the US Census Bureau
Silver,Superpower IPA,Comrade Brewing Co.,Denver,CO,American-Style Strong Pale Ale,2020,39.760189,-104.996553,1,place,,,,,Denver,CO,Denver County,80202,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Mai Tai P.A.,Alvarado Street Brewery & Tasting Room,Salinas,CA,American-Style Strong Pale Ale,2020,36.64152,-121.622188,1,place,,,,,Salinas,CA,Monterey County,93901,US,TIGER/Line® dataset from the US Census Bureau
Gold,Whoopty Whoop Wheat,Wild Ride Brewing,Redmond,OR,American-Style Wheat Beer,2020,44.268862,-121.266414,1,place,,,,,Redmond,OR,Deschutes County,97756,US,TIGER/Line® dataset from the US Census Bureau
Bronze,10 Barrel TWheat,10 Barrel Brewing Co. - Bend Pub,Bend,OR,American-Style Wheat Beer,2020,44.082037,-121.227125,1,place,,,,,Bend,OR,Deschutes County,97701,US,TIGER/Line® dataset from the US Census Bureau
Gold,Dubbel or Nothing,Monkless Belgian Ales,Bend,OR,Belgian-Style Abbey Ale,2020,44.082037,-121.227125,1,place,,,,,Bend,OR,Deschutes County,97701,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Lux Mundi,Save The World Brewing Co.,Marble Falls,TX,Belgian-Style Abbey Ale,2020,30.581216,-98.208732,1,place,,,,,Marble Falls,TX,Burnet County,78654,US,TIGER/Line® dataset from the US Census Bureau
Silver,Crazy Train,Fretboard Brewing Co.,Blue Ash,OH,Belgian-Style Ale or French-Style Ale,2020,39.231944,-84.378333,0,,,,,,,,,,,
Gold,Funk Yeah,Beachwood Blendery,Long Beach,CA,Belgian-Style Lambic or Sour Ale,2020,33.804309,-118.200957,1,place,,,,,Long Beach,CA,Los Angeles County,90801,US,TIGER/Line® dataset from the US Census Bureau
Silver,Peche,Block 15 Brewing Co.,Corvallis,OR,Belgian-Style Lambic or Sour Ale,2020,44.639931,-123.275969,1,place,,,,,Corvallis,OR,Benton County,97330,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Cerise Morte,Wicked Weed - Funk House,Arden,NC,Belgian-Style Lambic or Sour Ale,2020,35.46623,-82.51651,1,place,,,,,Arden,NC,Buncombe County,28704,US,TIGER/Line® dataset from the US Census Bureau
Gold,Tangible Passion,Riip Beer Co.,Huntington Beach,CA,Belgian-Style Specialty Ale,2020,33.640302,-117.769442,1,place,,,,,Huntington Beach,CA,Orange County,92605,US,TIGER/Line® dataset from the US Census Bureau
Silver,Goin' Stag,Cabin Boys Brewery,Tulsa,OK,Belgian-Style Specialty Ale,2020,36.039147,-95.868667,1,place,,,,,Tulsa,OK,Tulsa County,74101,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Orange Diva,StillFire Brewing,Suwanee,GA,Belgian-Style Specialty Ale,2020,34.042479,-84.026171,1,place,,,,,Suwanee,GA,Gwinnett County,30024,US,TIGER/Line® dataset from the US Census Bureau
Gold,Cosmic Sloth,Pinthouse Pizza - South Lamar,Austin,TX,Belgian-Style Strong Specialty Ale,2020,30.326374,-97.771258,1,place,,,,,Austin,TX,Travis County,73301,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Hell Camino Belgian Quad,Dos Desperados Brewery,San Diego,CA,Belgian-Style Strong Specialty Ale,2020,32.724103,-117.170912,1,place,,,,,San Diego,CA,San Diego County,92101,US,TIGER/Line® dataset from the US Census Bureau
Gold,White,Allagash Brewing Co.,Portland,ME,Belgian-Style Witbier,2020,43.658784,-70.262393,1,place,,,,,Portland,ME,Cumberland County,4101,US,TIGER/Line® dataset from the US Census Bureau
Silver,Boeman Belgian White,Ogopogo Brewing,San Gabriel,CA,Belgian-Style Witbier,2020,34.114772,-118.089431,1,place,,,,,San Gabriel,CA,Los Angeles County,91775,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Wolk,Lock 27 Brewing,Centerville,OH,Belgian-Style Witbier,2020,39.080898,-83.952431,0.8,place,,,,,Centerville,OH,Brown County,45154,US,TIGER/Line® dataset from the US Census Bureau
Gold,Chuckanut Maibock,Chuckanut Brewery - North Nut,Bellingham,WA,Bock,2020,48.754092,-122.508129,1,place,,,,,Bellingham,WA,Whatcom County,98225,US,TIGER/Line® dataset from the US Census Bureau
Silver,Maibock,NoDa Brewing Co. - NE,Charlotte,NC,Bock,2020,35.26002,-80.804151,1,place,,,,,Charlotte,NC,Mecklenburg County,28201,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Skool House Bock,Moontown Brewing Co.,Whitestown,IN,Bock,2020,40.022608,-86.346179,1,place,,,,,Whitestown,IN,Boone County,46075,US,TIGER/Line® dataset from the US Census Bureau
Gold,Perle Haggard,Ex Novo Brewing Co.,Portland,OR,Bohemian-Style Pilsener,2020,45.507856,-122.690794,1,place,,,,,Portland,OR,Multnomah County,97201,US,TIGER/Line® dataset from the US Census Bureau
Silver,Fortune &amp; Glory,Precarious Beer Project - Precarious Beer Hall,Williamsburg,VA,Bohemian-Style Pilsener,2020,37.310451,-76.746769,1,place,,,,,Williamsburg,VA,Williamsburg city,23186,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Tres Tres,Ocean Beach Brewery,San Diego,CA,Bohemian-Style Pilsener,2020,32.724103,-117.170912,1,place,,,,,San Diego,CA,San Diego County,92101,US,TIGER/Line® dataset from the US Census Bureau
Gold,Bottle Conditioned Day Drinker,Lost Forty Brewing,Little Rock,AR,Brett Beer,2020,34.746905,-92.280049,1,place,,,,,Little Rock,AR,Pulaski County,72201,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Saison de Walt,Flix Brewhouse,Carmel,IN,Brett Beer,2020,39.962604,-86.174761,1,place,,,,,Carmel,IN,Hamilton County,46032,US,TIGER/Line® dataset from the US Census Bureau
Gold,Brown Claw,Kern River Brewing Co.,Kernville,CA,Brown Porter,2020,35.708701,-118.405385,1,place,,,,,Kernville,CA,Kern County,93238,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Old Normal,Bend Brewing Co.,Bend,OR,Brown Porter,2020,44.082037,-121.227125,1,place,,,,,Bend,OR,Deschutes County,97701,US,TIGER/Line® dataset from the US Census Bureau
Silver,Poblano Pils,CervecerC3=ADa Colorado,Denver,CO,Chili Beer,2020,39.760189,-104.996553,1,place,,,,,Denver,CO,Denver County,80202,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Hatch Chile Gatos,Fate Brewing Co.,Scottsdale,AZ,Chili Beer,2020,33.534451,-111.887354,1,place,,,,,Scottsdale,AZ,Maricopa County,85250,US,TIGER/Line® dataset from the US Census Bureau
Gold,Weapon of Mash Destruction,Main & Six Brewing Co.,Jacksonville,FL,Chocolate Beer,2020,30.337538,-81.768622,1,place,,,,,Jacksonville,FL,Duval County,32099,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Von Schrag,Mother's Brewing Co.,Springfield,MO,Chocolate Beer,2020,37.25807,-93.343673,1,place,,,,,Springfield,MO,Greene County,65801,US,TIGER/Line® dataset from the US Census Bureau
Gold,Beyond the Gnome World,Silver Branch Brewing Co.,Silver Spring,MD,Classic Saison,2020,39.036289,-77.010948,1,place,,,,,Silver Spring,MD,Montgomery County,20901,US,TIGER/Line® dataset from the US Census Bureau
Silver,Tomorrow's Verse,Urban Roots Brewing &amp; Smokehouse,Sacramento,CA,Classic Saison,2020,38.380456,-121.555406,1,place,,,,,Sacramento,CA,Sacramento County,94203,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Meadowlark,Metazoa Brewing Co. - Taproom,Indianapolis,IN,Classic Saison,2020,39.775092,-86.13216,1,place,,,,,Indianapolis,IN,Marion County,46201,US,TIGER/Line® dataset from the US Census Bureau
Gold,Daybreak,Wolf's Ridge Brewing - Production Operations,Columbus,OH,Coffee Beer,2020,40.100924,-83.013402,1,place,,,,,Columbus,OH,Franklin County,43085,US,TIGER/Line® dataset from the US Census Bureau
Silver,Golden Stout,Karl Strauss Brewing Co. - Anaheim,Anaheim,CA,Coffee Beer,2020,33.844983,-117.952151,1,place,,,,,Anaheim,CA,Orange County,92801,US,TIGER/Line® dataset from the US Census Bureau
Bronze,BJ's Coffee Blonde,BJ's Restaurant & Brewery - Reno,Reno,NV,Coffee Beer,2020,39.525749,-119.813051,1,place,,,,,Reno,NV,Washoe County,89501,US,TIGER/Line® dataset from the US Census Bureau
Gold,Super Tonic,Docent Brewing,San Juan Capistrano,CA,Coffee Stout or Porter,2020,33.501773,-117.608674,1,place,,,,,San Juan Capistrano,CA,Orange County,92675,US,TIGER/Line® dataset from the US Census Bureau
Silver,The Riizzo,Riip Beer Co.,Huntington Beach,CA,Coffee Stout or Porter,2020,33.640302,-117.769442,1,place,,,,,Huntington Beach,CA,Orange County,92605,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Venti is Large,Hop Dogma Brewing Co.,Half Moon Bay,CA,Coffee Stout or Porter,2020,37.389057,-122.415566,1,place,,,,,Half Moon Bay,CA,San Mateo County,94019,US,TIGER/Line® dataset from the US Census Bureau
Gold,Cruise to Nowhere,Town Brewing Co.,Charlotte,NC,Contemporary Gose,2020,35.26002,-80.804151,1,place,,,,,Charlotte,NC,Mecklenburg County,28201,US,TIGER/Line® dataset from the US Census Bureau
Silver,Haole Punch,Alvarado Street Brewery & Grill,Monterey,CA,Contemporary Gose,2020,36.57485,-121.840727,1,place,,,,,Monterey,CA,Monterey County,93940,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Steady As She Gose - P.O.G.,Big Ugly Brewing,Chesapeake,VA,Contemporary Gose,2020,36.749991,-76.218759,1,place,,,,,Chesapeake,VA,Chesapeake city,23320,US,TIGER/Line® dataset from the US Census Bureau
Silver,The Prince of DORTness,Quarter Celtic Brewpub,Albuquerque,NM,Dortmunder or German-Style Oktoberfest,2020,35.199592,-106.644831,1,place,,,,,Albuquerque,NM,Bernalillo County,87101,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Funfest,Bootlegger's Brewery,Fullerton,CA,Dortmunder or German-Style Oktoberfest,2020,33.879768,-117.896341,1,place,,,,,Fullerton,CA,Orange County,92831,US,TIGER/Line® dataset from the US Census Bureau
Gold,Proper Beer,Proper Brewing Co.,Salt Lake City,UT,English Ale,2020,40.756095,-111.900719,1,place,,,,,Salt Lake City,UT,Salt Lake County,84101,US,TIGER/Line® dataset from the US Census Bureau
Silver,Summer Lovin',Blue Mountain Brewery,Afton,VA,English Ale,2020,37.972758,-78.82231,1,place,,,,,Afton,VA,Nelson County,22920,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Uncle Dave's,Discretion Brewing,Soquel,CA,English Ale,2020,37.031948,-121.94972,1,place,,,,,Soquel,CA,Santa Cruz County,95073,US,TIGER/Line® dataset from the US Census Bureau
Gold,Deep Roots,Three Weavers Brewing Co.,Inglewood,CA,English Mild or Bitter,2020,33.956526,-118.358654,1,place,,,,,Inglewood,CA,Los Angeles County,90301,US,TIGER/Line® dataset from the US Census Bureau
Silver,English Pale Mild Ale,Wallenpaupack Brewing Co.,Hawley,PA,English Mild or Bitter,2020,41.482733,-75.24019,1,place,,,,,Hawley,PA,Wayne County,18428,US,TIGER/Line® dataset from the US Census Bureau
Bronze,MSB (McFleshman's Special Bitter),McFleshman's Brewing Co.,Appleton,WI,English Mild or Bitter,2020,44.275702,-88.370856,1,place,,,,,Appleton,WI,Outagamie County,54911,US,TIGER/Line® dataset from the US Census Bureau
Gold,Get Up Offa That Brown,Golden Road Brewing,Anaheim,CA,English-Style Brown Ale,2020,33.844983,-117.952151,1,place,,,,,Anaheim,CA,Orange County,92801,US,TIGER/Line® dataset from the US Census Bureau
Silver,Bloodhound Brown Ale,Attic Brewing Co.,Philadelphia,PA,English-Style Brown Ale,2020,40.001811,-75.11787,1,place,,,,,Philadelphia,PA,Philadelphia County,19019,US,TIGER/Line® dataset from the US Census Bureau
Gold,Barrel Aged Coco PiC3=B1a,Coastal Empire Beer Co.,Savannah,GA,Experimental Beer,2020,32.074679,-81.088261,1,place,,,,,Savannah,GA,Chatham County,31401,US,TIGER/Line® dataset from the US Census Bureau
Silver,Choco Tuesday,Lone Pine Brewing Co. - Gorham Tasting Room,Gorham,ME,Experimental Beer,2020,43.68258,-70.44571,1,place,,,,,Gorham,ME,Cumberland County,4038,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Get Artistic,Creature Comforts Brewing Co.,Athens,GA,Experimental Beer,2020,33.992902,-83.353697,1,place,,,,,Athens,GA,Clarke County,30601,US,TIGER/Line® dataset from the US Census Bureau
Gold,Pepper & Peaches,Claremont Craft Ales,Claremont,CA,Experimental India Pale Ale,2020,34.09668,-117.71978,1,place,,,,,Claremont,CA,Los Angeles County,91711,US,TIGER/Line® dataset from the US Census Bureau
Silver,Lazy Tiger,Lamplighter Brewing Co.,Cambridge,MA,Experimental India Pale Ale,2020,42.380442,-71.132947,1,place,,,,,Cambridge,MA,Middlesex County,2138,US,TIGER/Line® dataset from the US Census Bureau
Gold,Wicket Awesome,Eureka Heights Brew Co.,Houston,TX,Extra Special Bitter,2020,29.813142,-95.309789,1,place,,,,,Houston,TX,Harris County,77001,US,TIGER/Line® dataset from the US Census Bureau
Silver,Extra Special StormBreaker,StormBreaker Brewing,Portland,OR,Extra Special Bitter,2020,45.507856,-122.690794,1,place,,,,,Portland,OR,Multnomah County,97201,US,TIGER/Line® dataset from the US Census Bureau
Bronze,English Sporting Beer,Midwest Coast Brewing Co.,Chicago,IL,Extra Special Bitter,2020,41.88531,-87.62213,1,place,,,,,Chicago,IL,Cook County,60601,US,TIGER/Line® dataset from the US Census Bureau
Gold,Lime Cucumber Gose,Urban South Brewery - New Orleans,New Orleans,LA,Field Beer,2020,29.958304,-90.077,1,place,,,,,New Orleans,LA,Orleans Parish,70112,US,TIGER/Line® dataset from the US Census Bureau
Silver,Coconut Bligh's Barleywine,Dry Dock Brewing Co.- North Dock,Aurora,CO,Field Beer,2020,39.739249,-104.862881,1,place,,,,,Aurora,CO,Arapahoe County,80010,US,TIGER/Line® dataset from the US Census Bureau
Gold,Conelick'r,Three Creeks Brewing Co.,Sisters,OR,Fresh Hop Beer,2020,44.31648,-121.509124,1,place,,,,,Sisters,OR,Deschutes County,97759,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Fresh Hop Hazealicious,Reuben's Brews - Production Brewery,Seattle,WA,Fresh Hop Beer,2020,47.432251,-121.803388,1,place,,,,,Seattle,WA,King County,98060,US,TIGER/Line® dataset from the US Census Bureau
Gold,Liliko'i Kepolo,Avery Brewing Co.,Boulder,CO,Fruit Wheat Beer,2020,40.049468,-105.201421,1,place,,,,,Boulder,CO,Boulder County,80301,US,TIGER/Line® dataset from the US Census Bureau
Silver,Grandma's Favorite Recipe,Silver Harbor Brewing Co.,Saint Joseph,MI,Fruit Wheat Beer,2020,42.10976,-86.48002,1,place,,,,,Saint Joseph,MI,Berrien County,49085,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Afternoon Delight,Storm Peak Brewing Co.,Steamboat Springs,CO,Fruit Wheat Beer,2020,40.486391,-106.829354,1,place,,,,,Steamboat Springs,CO,Routt County,80477,US,TIGER/Line® dataset from the US Census Bureau
Gold,Guava Dreams,Del Cielo Brewing Co.,Martinez,CA,Fruited American-Style Sour Ale,2020,37.986421,-122.134976,1,place,,,,,Martinez,CA,Contra Costa County,94553,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Summer Sun,Stereo Brewing Co.,Placentia,CA,Fruited American-Style Sour Ale,2020,33.881158,-117.854783,1,place,,,,,Placentia,CA,Orange County,92870,US,TIGER/Line® dataset from the US Census Bureau
Gold,The Many Lives of Our Lives,Big aLICe Brewing Co.,Long Island City,NY,Fruited Wood- and Barrel-Aged Sour Beer,2020,40.744622,-73.934502,1,place,,,,,Long Island City,NY,Queens County,11101,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Cherry Busey,Sun King Brewery - Indianapolis,Indianapolis,IN,Fruited Wood- and Barrel-Aged Sour Beer,2020,39.775092,-86.13216,1,place,,,,,Indianapolis,IN,Marion County,46201,US,TIGER/Line® dataset from the US Census Bureau
Gold,Maximilian,La Reforma,Albuquerque,NM,German Dark Lager,2020,35.199592,-106.644831,1,place,,,,,Albuquerque,NM,Bernalillo County,87101,US,TIGER/Line® dataset from the US Census Bureau
Silver,Dozer Line,Topa Topa Brewing Co.,Ventura,CA,German Dark Lager,2020,34.330829,-119.358352,1,place,,,,,Ventura,CA,Ventura County,93001,US,TIGER/Line® dataset from the US Census Bureau
Gold,Howitzer Amber,Red Leg Brewing Co.,Colorado Springs,CO,German-Style Altbier,2020,38.828893,-104.809929,1,place,,,,,Colorado Springs,CO,El Paso County,80903,US,TIGER/Line® dataset from the US Census Bureau
Silver,Control ALT,Devil's Logic Brewing,Charlotte,NC,German-Style Altbier,2020,35.26002,-80.804151,1,place,,,,,Charlotte,NC,Mecklenburg County,28201,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Altitude Alt,Altitude Chophouse & Brewery,Laramie,WY,German-Style Altbier,2020,41.43902,-105.801022,1,place,,,,,Laramie,WY,Albany County,82070,US,TIGER/Line® dataset from the US Census Bureau
Gold,Agent Provocator,Clandestine Brewing,San Jose,CA,German-Style Doppelbock or Eisbock,2020,37.189396,-121.705327,1,place,,,,,San Jose,CA,Santa Clara County,95101,US,TIGER/Line® dataset from the US Census Bureau
Silver,Duck-Rabbit Duck-Rabbator,Duck-Rabbit Craft Brewery,Farmville,NC,German-Style Doppelbock or Eisbock,2020,35.59544,-77.58525,1,place,,,,,Farmville,NC,Pitt County,27828,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Kolsch Money,Jack's Abby Craft Lagers,Framingham,MA,German-Style Koelsch,2020,42.320169,-71.440409,1,place,,,,,Framingham,MA,Middlesex County,1701,US,TIGER/Line® dataset from the US Census Bureau
Gold,Amber's Lager-Amber Lager,Irwin Brewing Co.,Crested Butte,CO,German-Style Maerzen,2020,38.880713,-106.94868,1,place,,,,,Crested Butte,CO,Gunnison County,81224,US,TIGER/Line® dataset from the US Census Bureau
Silver,White Rocktoberfest,White Rock Alehouse & Brewery,Dallas,TX,German-Style Maerzen,2020,32.781179,-96.790329,1,place,,,,,Dallas,TX,Dallas County,75201,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Big Grove Oktoberfest,Big Grove Brewery,Iowa City,IA,German-Style Maerzen,2020,41.634209,-91.49905,1,place,,,,,Iowa City,IA,Johnson County,52240,US,TIGER/Line® dataset from the US Census Bureau
Gold,Sprockets,Gravely Brewing Co.,Louisville,KY,German-Style Pilsener,2020,38.188962,-85.676819,1,place,,,,,Louisville,KY,Jefferson County,40201,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Pils,Kansas City Bier Co.,Kansas City,MO,German-Style Pilsener,2020,39.102404,-94.598583,1,place,,,,,Kansas City,MO,Jackson County,64101,US,TIGER/Line® dataset from the US Census Bureau
Silver,Hefeweizen,Kansas City Bier Co.,Kansas City,MO,German-Style Wheat Ale,2020,39.102404,-94.598583,1,place,,,,,Kansas City,MO,Jackson County,64101,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Doc's Dunkel,Gravely Brewing Co.,Louisville,KY,German-Style Wheat Ale,2020,38.188962,-85.676819,1,place,,,,,Louisville,KY,Jefferson County,40201,US,TIGER/Line® dataset from the US Census Bureau
Gold,Aurochs Hazy IPA,Aurochs Brewing Co.,Emsworth,PA,Gluten-Free Beer,2020,40.510068,-80.094501,0.8,place,,,,,Emsworth,PA,Allegheny County,15202,US,TIGER/Line® dataset from the US Census Bureau
Silver,1808,ALT Brew,Madison,WI,Gluten-Free Beer,2020,43.06956,-89.423861,1,place,,,,,Madison,WI,Dane County,53701,US,TIGER/Line® dataset from the US Census Bureau
Gold,Carolinian,Columbia Craft Brewing Co.,Columbia,SC,Golden or Blonde Ale,2020,33.987454,-81.024864,1,place,,,,,Columbia,SC,Richland County,29201,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Sunlight Cream Ale,Sun King Brewery - Indianapolis,Indianapolis,IN,Golden or Blonde Ale,2020,39.775092,-86.13216,1,place,,,,,Indianapolis,IN,Marion County,46201,US,TIGER/Line® dataset from the US Census Bureau
Gold,Allergeez,Panther Island Brewing,Fort Worth,TX,Herb and Spice Beer,2020,32.771419,-97.291484,1,place,,,,,Fort Worth,TX,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Powder Run,Living the Dream Brewing Co.,Littleton,CO,Herb and Spice Beer,2020,39.597937,-105.010182,1,place,,,,,Littleton,CO,Arapahoe County,80120,US,TIGER/Line® dataset from the US Census Bureau
Gold,Decorah Nordic Gruit,PIVO Brewery,Calmar,IA,Historical Beer,2020,43.168758,-91.867666,1,place,,,,,Calmar,IA,Winneshiek County,52132,US,TIGER/Line® dataset from the US Census Bureau
Silver,Seedstock Gratzer,Seedstock Brewery,Denver,CO,Historical Beer,2020,39.760189,-104.996553,1,place,,,,,Denver,CO,Denver County,80202,US,TIGER/Line® dataset from the US Census Bureau
